primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename,length,kfold
afrsil1,[],['call'],17.0578,42.9626,Euodice cantans,African Silverbill,Gregory Askew,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/650014,afrsil1/XC650014.ogg,831739,1
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174953,akekee/XC174953.ogg,76904,0
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174954,akekee/XC174954.ogg,486504,1
akekee,"['apapan', 'warwhe1']","['call', 'male']",22.1467,-159.6134,Loxops caeruleirostris,Akekee,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:00,https://www.xeno-canto.org/210201,akekee/XC210201.ogg,2460108,4
akekee,['apapan'],"['call', 'male', 'song']",22.0815,-159.555,Loxops caeruleirostris,Akekee,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,14:00,https://www.xeno-canto.org/219961,akekee/XC219961.ogg,1855739,2
akekee,['iiwi'],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:30,https://www.xeno-canto.org/27306,akekee/XC27306.ogg,5342354,1
akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,11:45,https://www.xeno-canto.org/27320,akekee/XC27320.ogg,581799,3
akepa1,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi']",['call'],19.6292,-155.3597,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:14,https://www.xeno-canto.org/122473,akepa1/XC122473.ogg,4483584,2
akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6223,-155.3598,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:37,https://www.xeno-canto.org/122672,akepa1/XC122672.ogg,2946048,1
akepa1,"['apapan', 'iiwi']",['call'],19.6294,-155.3615,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,11:53,https://www.xeno-canto.org/124794,akepa1/XC124794.ogg,579072,3
akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.8224,-155.2964,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,14:07,https://www.xeno-canto.org/127673,akepa1/XC127673.ogg,4614144,3
akepa1,"['akiapo', 'apapan', 'hawama', 'omao', 'warwhe1']","['begging call', 'call']",19.5727,-155.3189,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:57,https://www.xeno-canto.org/147002,akepa1/XC147002.ogg,12065280,4
akepa1,"['apapan', 'iiwi', 'warwhe1']","['call', 'song']",19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:00,https://www.xeno-canto.org/175511,akepa1/XC175511.ogg,7229858,4
akepa1,"['apapan', 'iiwi']",['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:30,https://www.xeno-canto.org/175512,akepa1/XC175512.ogg,777404,1
akepa1,"['apapan', 'iiwi']",['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:30,https://www.xeno-canto.org/175513,akepa1/XC175513.ogg,1958557,0
akepa1,['iiwi'],['song'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27348,akepa1/XC27348.ogg,290064,2
akepa1,['iiwi'],['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27356,akepa1/XC27356.ogg,85264,0
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:31,https://www.xeno-canto.org/122399,akiapo/XC122399.ogg,938496,0
akiapo,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:46,https://www.xeno-canto.org/122401,akiapo/XC122401.ogg,1750272,4
akiapo,['apapan'],['song'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,16:22,https://www.xeno-canto.org/122693,akiapo/XC122693.ogg,550656,3
akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",['call'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,15:58,https://www.xeno-canto.org/124705,akiapo/XC124705.ogg,7113216,2
akiapo,"['apapan', 'hawama', 'iiwi', 'omao', 'warwhe1']",['song'],19.6334,-155.3753,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:43,https://www.xeno-canto.org/124801,akiapo/XC124801.ogg,2377728,1
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.7937,-155.3243,Hemignathus wilsoni,Akiapolaau,Eric VanderWerf,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,15:00,https://www.xeno-canto.org/144826,akiapo/XC144826.ogg,2305536,4
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']","['begging call', 'mechanical tapping']",19.5866,-155.3402,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,16:56,https://www.xeno-canto.org/147003,akiapo/XC147003.ogg,3681024,0
akiapo,[],['begging call (?)'],19.7901,-155.3273,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,15:40,https://www.xeno-canto.org/27355,akiapo/XC27355.ogg,341891,2
akiapo,"['hawama', 'iiwi']",['call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:30,https://www.xeno-canto.org/27374,akiapo/XC27374.ogg,999758,1
akiapo,['iiwi'],"['call', 'song']",19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:00,https://www.xeno-canto.org/27376,akiapo/XC27376.ogg,2349767,2
akiapo,[],['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,George Wagner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,12:00,https://www.xeno-canto.org/306424,akiapo/XC306424.ogg,957127,0
akiapo,['hawama'],['alarm call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Ulf Elman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,11:05,https://www.xeno-canto.org/385387,akiapo/XC385387.ogg,406272,3
akiapo,['apapan'],['call'],19.536,-155.3345,Hemignathus wilsoni,Akiapolaau,Naomi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:30,https://www.xeno-canto.org/648118,akiapo/XC648118.ogg,488992,4
akiapo,[],"['adult', 'call', 'female']",19.5361,-155.3247,Hemignathus wilsoni,Akiapolaau,Naomi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:30,https://www.xeno-canto.org/648120,akiapo/XC648120.ogg,98624,3
akikik,"['akikik', 'apapan']",['call'],22.0815,-159.555,Oreomystis bairdi,Akikiki,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:00,https://www.xeno-canto.org/216038,akikik/XC216038.ogg,1661806,2
akikik,[],['call'],22.0815,-159.555,Oreomystis bairdi,Akikiki,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,14:00,https://www.xeno-canto.org/317034,akikik/XC317034.ogg,1625861,1
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,05:00,https://www.xeno-canto.org/150015,amewig/XC150015.ogg,647001,4
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,06:00,https://www.xeno-canto.org/150063,amewig/XC150063.ogg,771553,2
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.0,22:00,https://www.xeno-canto.org/152348,amewig/XC152348.ogg,813349,0
amewig,['sora'],['call'],35.0307,-120.6205,Mareca americana,American Wigeon,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,9:30,https://www.xeno-canto.org/152396,amewig/XC152396.ogg,4912692,3
amewig,[],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.5,05:00,https://www.xeno-canto.org/152873,amewig/XC152873.ogg,592666,0
amewig,['sora'],['call'],56.7264,-111.3803,Mareca americana,American Wigeon,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,04:00,https://www.xeno-canto.org/153020,amewig/XC153020.ogg,347742,2
amewig,['mallar3'],['call'],48.4123,-123.3627,Mareca americana,American Wigeon,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:00,https://www.xeno-canto.org/165450,amewig/XC165450.ogg,4801515,3
amewig,[],['call'],32.233,-109.8269,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,11:27,https://www.xeno-canto.org/172886,amewig/XC172886.ogg,1173504,4
amewig,[],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:54,https://www.xeno-canto.org/172887,amewig/XC172887.ogg,365568,1
amewig,['houfin'],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:15,https://www.xeno-canto.org/172888,amewig/XC172888.ogg,814080,4
amewig,[],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:53,https://www.xeno-canto.org/172889,amewig/XC172889.ogg,337152,2
amewig,[],['call'],32.564,-117.1256,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:45,https://www.xeno-canto.org/172890,amewig/XC172890.ogg,534528,3
amewig,[],['flight call'],47.7312,-70.4221,Mareca americana,American Wigeon,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,18:25,https://www.xeno-canto.org/187408,amewig/XC187408.ogg,295079,2
amewig,[],['flight call'],47.7312,-70.4221,Mareca americana,American Wigeon,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,18:28,https://www.xeno-canto.org/187411,amewig/XC187411.ogg,513254,4
amewig,[],['male'],51.7068,-103.5791,Mareca americana,American Wigeon,Patrick Turgeon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,12:49,https://www.xeno-canto.org/293789,amewig/XC293789.ogg,96967,1
amewig,[],['call'],33.8047,-116.5067,Mareca americana,American Wigeon,Jim Holmes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:00,https://www.xeno-canto.org/298401,amewig/XC298401.ogg,267264,0
amewig,['mallar3'],['call'],40.015,-105.2705,Mareca americana,American Wigeon,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,14:16,https://www.xeno-canto.org/301850,amewig/XC301850.ogg,502368,1
amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,13:30,https://www.xeno-canto.org/305019,amewig/XC305019.ogg,78336,2
amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,13:30,https://www.xeno-canto.org/305020,amewig/XC305020.ogg,55296,3
amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,13:00,https://www.xeno-canto.org/305022,amewig/XC305022.ogg,66048,1
amewig,[],"['call', 'male']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,13:00,https://www.xeno-canto.org/305023,amewig/XC305023.ogg,59136,1
amewig,[],"['male', 'wing beats']",34.7912,135.4983,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,13:00,https://www.xeno-canto.org/305276,amewig/XC305276.ogg,64512,3
amewig,['mallar3'],['call'],41.7974,-71.3791,Mareca americana,American Wigeon,Dylan Pedro,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,13:00,https://www.xeno-canto.org/309315,amewig/XC309315.ogg,70656,2
amewig,[],['call'],48.6617,-112.4239,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,12:51,https://www.xeno-canto.org/335125,amewig/XC335125.ogg,1929300,3
amewig,[],['call'],48.6617,-112.4239,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,13:14,https://www.xeno-canto.org/335126,amewig/XC335126.ogg,1892519,3
amewig,[],"['alarm call', 'female']",50.9619,-118.1997,Mareca americana,American Wigeon,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,08:00,https://www.xeno-canto.org/379016,amewig/XC379016.ogg,304274,1
amewig,[],"['call', 'male']",33.7251,-117.9103,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,09:09,https://www.xeno-canto.org/384955,amewig/XC384955.ogg,390912,4
amewig,['mallar3'],['call'],48.4302,-123.3926,Mareca americana,American Wigeon,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,21:30,https://www.xeno-canto.org/396690,amewig/XC396690.ogg,3495811,4
amewig,[],['call'],32.2789,-111.0223,Mareca americana,American Wigeon,Janine McCabe,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:30,https://www.xeno-canto.org/398300,amewig/XC398300.ogg,1018149,3
amewig,[],['call'],40.5032,-105.0629,Mareca americana,American Wigeon,Nick Komar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,17:30,https://www.xeno-canto.org/403005,amewig/XC403005.ogg,370176,4
amewig,[],"['alarm call', 'call']",47.6807,-122.2459,Mareca americana,American Wigeon,Bruce Lagerquist,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:30,https://www.xeno-canto.org/404504,amewig/XC404504.ogg,603533,0
amewig,[],"['call', 'female', 'male']",32.6185,-117.1029,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,07:03,https://www.xeno-canto.org/448935,amewig/XC448935.ogg,765696,2
amewig,[],"['call', 'male']",32.6185,-117.1029,Mareca americana,American Wigeon,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,07:14,https://www.xeno-canto.org/448937,amewig/XC448937.ogg,368640,0
amewig,['cangoo'],"['Whi-Whee-Whew', 'call', 'male']",40.7124,-74.4871,Mareca americana,American Wigeon,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,02:00,https://www.xeno-canto.org/509697,amewig/XC509697.ogg,511488,4
amewig,[],"['adult', 'call', 'female', 'female call']",49.2713,-123.1949,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/509721,amewig/XC509721.ogg,347136,4
amewig,[],"['adult', 'call', 'male', 'male call']",49.2713,-123.1949,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,11:30,https://www.xeno-canto.org/509723,amewig/XC509723.ogg,140544,3
amewig,[],"['call', 'male']",34.7092,135.3573,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,12:00,https://www.xeno-canto.org/513990,amewig/XC513990.ogg,61022,1
amewig,['eurwig'],"['call', 'male']",34.7092,135.3573,Mareca americana,American Wigeon,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,12:05,https://www.xeno-canto.org/513991,amewig/XC513991.ogg,1108428,4
amewig,['norsho'],"['adult', 'call', 'male']",25.6602,-109.0033,Mareca americana,American Wigeon,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:30,https://www.xeno-canto.org/519618,amewig/XC519618.ogg,692736,3
amewig,['bknsti'],"['adult', 'call', 'male']",25.6602,-109.0033,Mareca americana,American Wigeon,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:30,https://www.xeno-canto.org/519619,amewig/XC519619.ogg,628992,0
amewig,[],['call'],25.6602,-109.0033,Mareca americana,American Wigeon,Isain Contreras Rodríguez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:30,https://www.xeno-canto.org/519789,amewig/XC519789.ogg,295079,0
amewig,[],['call'],25.6602,-109.0033,Mareca americana,American Wigeon,Isain Contreras Rodríguez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,07:30,https://www.xeno-canto.org/519790,amewig/XC519790.ogg,42632,2
amewig,[],"['adult', 'call', 'male']",52.5484,6.1209,Mareca americana,American Wigeon,Wolbert Hermus,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:30,https://www.xeno-canto.org/522375,amewig/XC522375.ogg,117029,1
amewig,[],['call'],45.5734,-122.6114,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:15,https://www.xeno-canto.org/524662,amewig/XC524662.ogg,850965,0
amewig,['mallar3'],['call'],45.5734,-122.6114,Mareca americana,American Wigeon,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:22,https://www.xeno-canto.org/524663,amewig/XC524663.ogg,997251,2
amewig,[],"['Whi-Whee-Whew', 'male', 'song']",40.5874,-74.2621,Mareca americana,American Wigeon,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,07:30,https://www.xeno-canto.org/530872,amewig/XC530872.ogg,4635648,0
amewig,[],['call'],49.2775,-123.1453,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/531503,amewig/XC531503.ogg,145152,1
amewig,[],['call'],49.2775,-123.1453,Mareca americana,American Wigeon,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,11:30,https://www.xeno-canto.org/531510,amewig/XC531510.ogg,502272,2
amewig,[],['call'],19.2726,-98.9868,Mareca americana,American Wigeon,Isain Contreras Rodríguez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,07:30,https://www.xeno-canto.org/593011,amewig/XC593011.ogg,78336,0
amewig,[],"['adult', 'call', 'female', 'male']",49.2714,-123.1956,Mareca americana,American Wigeon,Peter Ward and Ken Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,10:00,https://www.xeno-canto.org/603725,amewig/XC603725.ogg,1649248,1
amewig,['cangoo'],['call'],34.0876,-118.1154,Mareca americana,American Wigeon,Grant Kirchhoff,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,16:00,https://www.xeno-canto.org/611348,amewig/XC611348.ogg,321829,3
aniani,['kauama'],['song'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,09:30,https://www.xeno-canto.org/174949,aniani/XC174949.ogg,167184,0
aniani,"['apapan', 'kauama']",['call'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:00,https://www.xeno-canto.org/174952,aniani/XC174952.ogg,928705,1
aniani,['apapan'],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/174955,aniani/XC174955.ogg,456411,2
aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,15:30,https://www.xeno-canto.org/210202,aniani/XC210202.ogg,716382,1
aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:00,https://www.xeno-canto.org/210203,aniani/XC210203.ogg,1346664,4
aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,09:00,https://www.xeno-canto.org/210204,aniani/XC210204.ogg,817528,3
aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:30,https://www.xeno-canto.org/210205,aniani/XC210205.ogg,1405179,0
aniani,[],['song'],22.1467,-159.6134,Magumma parva,Anianiau,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,15:00,https://www.xeno-canto.org/210206,aniani/XC210206.ogg,656196,2
aniani,[],"['call', 'rain']",22.1493,-159.6099,Magumma parva,Anianiau,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,11:30,https://www.xeno-canto.org/256222,aniani/XC256222.ogg,501551,4
aniani,['iiwi'],"['call', 'song']",22.1467,-159.6134,Magumma parva,Anianiau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,10:50,https://www.xeno-canto.org/27338,aniani/XC27338.ogg,4056712,4
aniani,[],['call'],22.1493,-159.6099,Magumma parva,Anianiau,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,15:00,https://www.xeno-canto.org/314503,aniani/XC314503.ogg,2303791,0
aniani,[],['call'],22.1467,-159.6134,Magumma parva,Anianiau,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,12:00,https://www.xeno-canto.org/317139,aniani/XC317139.ogg,669571,3
